Key,Summary,Assignee,Product Manager,Target Version
ROX-19999,Automatically add self-signed proxy CAs for Openshift's proxy to Central,Michael Hess,Anjali Telang,5.0.0
ROX-19575,Tampering with the Kube API server audit log (+RFE),Unassigned,Boaz Michaely,5.0.0
ROX-19574,CVE Remediation guidance for RH OCP Based on OCP z-stream,Shubha Badve,Shubha Badve,5.0.0
ROX-17746,[ENG] Scanner Scale and Performance Improvements,Vu Le,Shubha Badve,5.0.0
ROX-15053,Need securedcluster.spec.monitoring.exposeEndpoint,Unassigned,Doron Caspin,5.0.0
ROX-14784,Policy UI should restrict invalid input,Linda Song,Boaz Michaely,5.0.0
ROX-13821,ACS - Section 508 Compliance(UI Accessibility),Doron Caspin,Mansur Syed,5.0.0
ROX-10508,Find configmaps that might hold secret values,Boaz Michaely,Boaz Michaely,5.0.0
ROX-9116,[ENG] Migrate Groovy tests to Go,Marcin Owsiany,,5.0.0
ROX-7422,ACM-ACS integration - deploy RHACS secured cluster services across multiple clusters using advanced cluster management,Doron Caspin,Sabina Aledort,5.0.0
