ebs_account,as_on_date,recent_1day_avg_cores,last_7days_avg_cores,last_30days_avg_cores,last_90days_avg_cores,last_365days_avg_cores,recent_1day_clusters,accnt_risk_opp_flag,accnt_risk_opp_level,accnt_risk_opp_desc,version_currency_flag,version_currency_level,version_currency_desc,aws_clusters,azure_clusters,gcp_clusters,cs_aws_cores,cs_azure_cores,cs_gcp_cores,has_amazon_eks_risk,has_microsoft_aks_risk,has_google_gke_risk,cs_takeover_desc,unattached_clusters,attached_clusters,unattached_cluster_flag,cost_optimization_clusters,cost_optimization_flag,connected_status,is_pp_opr,is_odf_opr,is_quay_opr,is_acm_opr,is_acs_opr,rhacs_versions,rhacs_total_clusters,rhacs_total_cores,rhacs_first_active,rhacs_last_active,rhacs_total_failures,rhacs_failure_descriptions
636761,2026-03-10,62.0,62.0,62.0,72.07589200922536,72.3284027948165,3.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",0.0,3.0,No,0.0,No,Connected,1.0,0.0,1.0,0.0,1.0,4.10.0 | 4.9.3 | 4.9.2 | 4.9.1 | 4.9.0 | 4.8.4 | 4.8.3 | 4.8.2 | 4.8.1 | 4.8.0 | 4.7.4 | 4.7.3 | 4.7.2 | 4.7.1 | 4.7.0 | 4.6.3 | 4.6.2,40.0,4191.25,2025-02-19,2026-03-10,2.0,2025-06-09: ComponentUnhealthy | 2025-03-28: ComponentUnhealthy
11381856,2026-03-10,61.0,61.0,61.00405092592593,60.99888117283951,56.75745951145573,2.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",2.0,0.0,Yes,0.0,No,Connected,1.0,0.0,0.0,0.0,1.0,4.10.0 | 4.9.3 | 4.9.2 | 4.9.1 | 4.9.0 | 4.8.4 | 4.8.3 | 4.8.2 | 4.8.1 | 4.8.0 | 4.7.4 | 4.7.3 | 4.7.2 | 4.7.1 | 4.7.0 | 4.6.3 | 4.6.2 | 4.6.1 | 4.6.0 | 4.5.5 | 4.5.4,21.0,2287.3738869531553,2024-11-19,2026-03-10,0.0,
1110800,2026-03-10,60.0,77.15873015873015,79.98333333333333,58.66111111111111,63.7994235973349,3.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Risk of Amazon EKS takeover identified on one or more EBS accounts. Confirm OpenShift usage as an application platform, temperate check on manage cloud offering, and consider moving customer(s) to ROSA.",0.0,3.0,No,3.0,Yes,Connected,1.0,0.0,0.0,0.0,1.0,4.10.0 | 4.9.3 | 4.9.2 | 4.9.1 | 4.9.0 | 4.8.4,6.0,576.0,2025-10-28,2026-03-10,0.0,
8811056,2026-03-10,60.0,60.0,60.0,46.51620370370371,54.56864535768645,1.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"Risk of Microsoft AKS takeover identified on one or more EBS accounts. Confirm OpenShift usage as an application platform, temperate check on managed cloud offering, and consider moving customer(s) to ARO. ",0.0,1.0,No,0.0,No,Connected,1.0,1.0,1.0,1.0,1.0,4.10.0 | 4.9.3 | 4.9.2 | 4.9.1 | 4.9.0 | 4.8.4 | 4.8.3 | 4.8.2 | 4.8.1 | 4.8.0 | 4.7.4 | 4.7.3 | 4.7.2 | 4.7.1 | 4.7.0 | 4.6.3 | 4.6.2 | 4.6.1 | 4.6.0 | 4.5.5 | 4.5.4 | 4.5.3 | 4.5.2 | 4.5.1 | 4.5.0 | 4.4.4 | 4.4.3 | 4.4.2 | 4.4.1 | 4.4.0 | 4.3.5 | 4.3.4 | 4.3.3 | 4.3.2 | 4.3.1 | 4.3.0 | 4.2.0 | 3.74.6 | 3.74.5 | 3.74.4 | 3.74.3 | 3.74.2 | 3.74.1 | 3.74.0 | 3.73.2 | 3.73.1 | 3.73.0 | 3.72.1 | 3.72.0 | 3.71.0,53.0,9374.166839935133,2022-08-01,2026-03-10,2.0,2025-09-05: ComponentUnhealthy | 2025-06-09: ComponentUnhealthy
12463949,2026-03-10,60.0,51.42857142857143,51.2,26.608487654320985,11.137652207001523,2.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Risk of Amazon EKS takeover identified on one or more EBS accounts. Confirm OpenShift usage as an application platform, temperate check on manage cloud offering, and consider moving customer(s) to ROSA.",2.0,0.0,Yes,1.0,Yes,Connected,1.0,1.0,1.0,0.0,1.0,4.8.7 | 4.9.1 | 4.8.6 | 4.8.2,4.0,648.0,2025-09-04,2026-03-10,2.0,2025-11-26: ComponentUnhealthy | 2025-09-04: UnsupportedOperatorGroup
5610624,2026-03-10,60.0,60.0,60.0,58.666666666666664,44.46360350076103,2.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",2.0,0.0,Yes,0.0,No,Connected,1.0,0.0,0.0,0.0,1.0,4.10.0 | 4.9.3 | 4.9.2 | 4.9.1 | 4.9.0 | 4.8.4 | 4.8.3 | 4.8.2 | 4.8.1,9.0,1080.0,2025-08-08,2026-03-10,0.0,
11670493,2026-03-10,60.0,60.017857142857146,59.6613425925926,61.187654320987654,52.83569647421043,3.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",3.0,0.0,Yes,0.0,No,Connected,1.0,1.0,0.0,1.0,1.0,4.10.0 | 4.9.3 | 4.9.2 | 4.9.1 | 4.9.0 | 4.8.4,11.0,904.0,2025-09-15,2026-03-10,5.0,"2025-12-12: ComponentUnhealthy, 2025-12-13: InstallCheckFailed, 2025-12-15: InstallCheckFailed, ComponentUnhealthy | 2025-10-29: ComponentUnhealthy"
10691324,2026-03-10,60.0,60.0,60.0,60.0,65.31164383561644,3.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"Risk of Amazon EKS takeover identified on one or more EBS accounts. Confirm OpenShift usage as an application platform, temperate check on manage cloud offering, and consider moving customer(s) to ROSA.",0.0,3.0,No,3.0,Yes,Connected,1.0,0.0,1.0,0.0,1.0,4.8.8 | 4.7.9 | 4.7.8 | 4.7.7 | 4.7.6 | 4.7.5 | 4.7.4 | 4.7.3 | 4.6.5 | 4.6.3 | 4.6.2 | 4.5.5 | 4.5.4 | 4.5.3 | 4.5.1 | 4.4.4 | 4.4.2 | 4.4.1,19.0,1596.0,2024-05-08,2026-03-10,1.0,2025-06-04: ComponentUnhealthy
1188879,2026-03-10,60.0,60.0,60.00277777777777,60.000925925925934,80.69013314514152,3.0,Steady,4.0,The deployed OpenShift 4 cores observation appears steady for the last 30 days for all EBS Accounts.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",0.0,3.0,No,0.0,No,Connected,1.0,1.0,0.0,0.0,1.0,4.10.0 | 4.9.3 | 4.9.2 | 4.9.1 | 4.9.0 | 4.8.4 | 4.8.3 | 4.8.2 | 4.8.1 | 4.8.0 | 4.7.4 | 4.7.3 | 4.7.2 | 4.6.5 | 4.7.1 | 4.6.4 | 4.7.0 | 4.6.3 | 4.6.2 | 4.6.1 | 4.5.5 | 4.6.0 | 4.5.4 | 4.5.3 | 4.5.2 | 4.5.1 | 4.5.0 | 4.4.4 | 4.4.3 | 4.4.2 | 4.4.1 | 4.4.0 | 4.3.5 | 4.3.6 | 4.3.4 | 4.3.2 | 4.3.3 | 4.3.1 | 4.3.0 | 4.2.2 | 4.2.0 | 4.2.1 | 4.1.3 | 3.74.3 | 3.74.5 | 3.74.4 | 3.74.2 | 3.74.1 | 3.73.3 | 3.73.2 | 3.73.1 | 3.72.3 | 3.72.2 | 3.72.1 | 3.72.0,122.0,12278.937034605155,2022-10-04,2026-03-10,11.0,"2025-06-17: InstallCheckFailed, 2025-06-18: InstallCheckFailed | 2025-03-27: ComponentUnhealthy | 2023-04-07: ComponentUnhealthy | 2023-03-30: ComponentUnhealthy, 2023-03-31: ComponentUnhealthy, 2023-04-01: ComponentUnhealthy, 2023-04-03: ComponentUnhealthy, 2023-04-04: ComponentUnhealthy, 2023-04-05: ComponentUnhealthy | 2023-03-31: ComponentUnhealthy"
12370113,2026-03-10,60.0,32.57142857142857,18.8,13.692955832726868,3.584946739257915,4.0,Opportunity,2.0,The number of OpenShift 4 cores is at least 25% higher than the 30-day moving average. There may be an opportunity for expansion or committed spend within the account.,Steady,4.0,All EBS accounts appear current with respect to product versions detected with telemetry.,3.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,"No risk factors for an Amazon EKS, Microsoft AKS, or Google GKS takeover detected.",0.0,4.0,No,2.0,Yes,Connected,1.0,0.0,0.0,0.0,1.0,4.9.3,1.0,24.0,2026-02-20,2026-03-10,0.0,
